t=65.25, vL=1.73, vR=8.27, w=3.27
t=65.30, vL=1.78, vR=8.22, w=3.22
t=65.35, vL=1.84, vR=8.16, w=3.16
t=65.40, vL=1.90, vR=8.10, w=3.10
t=65.45, vL=1.97, vR=8.03, w=3.03
t=65.50, vL=2.04, vR=7.96, w=2.96
t=65.55, vL=2.12, vR=7.88, w=2.88
t=65.60, vL=2.20, vR=7.80, w=2.80
t=65.65, vL=2.29, vR=7.71, w=2.71
t=65.70, vL=2.38, vR=7.62, w=2.62
t=65.75, vL=2.47, vR=7.53, w=2.53
t=65.80, vL=2.57, vR=7.43, w=2.43
t=65.85, vL=2.67, vR=7.33, w=2.33
t=65.90, vL=2.78, vR=7.22, w=2.22
t=65.95, vL=2.89, vR=7.11, w=2.11
t=66.00, vL=3.00, vR=7.00, w=2.00
t=66.05, vL=3.12, vR=6.88, w=1.88
t=66.10, vL=3.24, vR=6.76, w=1.76
t=66.15, vL=3.36, vR=6.64, w=1.64
t=66.20, vL=3.49, vR=6.51, w=1.51
t=66.25, vL=3.61, vR=6.39, w=1.39
t=66.30, vL=3.74, vR=6.26, w=1.26
t=66.35, vL=3.88, vR=6.12, w=1.12
t=66.40, vL=4.01, vR=5.99, w=0.99
t=66.45, vL=4.14, vR=5.86, w=0.86
t=66.50, vL=4.28, vR=5.72, w=0.72
t=66.55, vL=4.42, vR=5.58, w=0.58
t=66.60, vL=4.56, vR=5.44, w=0.44
t=66.65, vL=4.70, vR=5.30, w=0.30
t=66.70, vL=4.84, vR=5.16, w=0.16
t=66.75, vL=4.98, vR=5.02, w=0.02
t=66.80, vL=5.12, vR=4.88, w=-0.12
t=66.85, vL=5.26, vR=4.74, w=-0.26
t=66.90, vL=5.39, vR=4.61, w=-0.39
t=66.95, vL=5.53, vR=4.47, w=-0.53
t=67.00, vL=5.67, vR=4.33, w=-0.67
t=67.05, vL=5.81, vR=4.19, w=-0.81
t=67.10, vL=5.94, vR=4.06, w=-0.94
t=67.15, vL=6.08, vR=3.92, w=-1.08
