INFO: heron_usv_controller: Starting controller: python.exe -u heron_usv_controller.py
USV figure-8 (open-loop, no sensors) controller started.
t=0.05, vL=4.99, vR=5.01, w=0.01
t=0.10, vL=4.99, vR=5.01, w=0.01
t=0.15, vL=4.98, vR=5.02, w=0.02
t=0.20, vL=4.98, vR=5.02, w=0.02
t=0.25, vL=4.97, vR=5.03, w=0.03
t=0.30, vL=4.97, vR=5.03, w=0.03
t=0.35, vL=4.96, vR=5.04, w=0.04
t=0.40, vL=4.96, vR=5.04, w=0.04
t=0.45, vL=4.95, vR=5.05, w=0.05
t=0.50, vL=4.95, vR=5.05, w=0.05
t=0.55, vL=4.94, vR=5.06, w=0.06
t=0.60, vL=4.94, vR=5.06, w=0.06
t=0.65, vL=4.93, vR=5.07, w=0.07
t=0.70, vL=4.93, vR=5.07, w=0.07
t=0.75, vL=4.93, vR=5.07, w=0.07
t=0.80, vL=4.92, vR=5.08, w=0.08
t=0.85, vL=4.92, vR=5.08, w=0.08
t=0.90, vL=4.91, vR=5.09, w=0.09
t=0.95, vL=4.91, vR=5.09, w=0.09
t=1.00, vL=4.91, vR=5.09, w=0.09
t=1.05, vL=4.90, vR=5.10, w=0.10
t=1.10, vL=4.90, vR=5.10, w=0.10
t=1.15, vL=4.90, vR=5.10, w=0.10
t=1.20, vL=4.90, vR=5.10, w=0.10
t=1.25, vL=4.90, vR=5.10, w=0.10
t=1.30, vL=4.89, vR=5.11, w=0.11
t=1.35, vL=4.89, vR=5.11, w=0.11
t=1.40, vL=4.89, vR=5.11, w=0.11
t=1.45, vL=4.89, vR=5.11, w=0.11
t=1.50, vL=4.89, vR=5.11, w=0.11
t=1.55, vL=4.89, vR=5.11, w=0.11
t=1.60, vL=4.89, vR=5.11, w=0.11
t=1.65, vL=4.89, vR=5.11, w=0.11
t=1.70, vL=4.89, vR=5.11, w=0.11
t=1.75, vL=4.89, vR=5.11, w=0.11
t=1.80, vL=4.89, vR=5.11, w=0.11
t=1.85, vL=4.89, vR=5.11, w=0.11
t=1.90, vL=4.90, vR=5.10, w=0.10
t=1.95, vL=4.90, vR=5.10, w=0.10
t=2.00, vL=4.90, vR=5.10, w=0.10
t=2.05, vL=4.90, vR=5.10, w=0.10
t=2.10, vL=4.91, vR=5.09, w=0.09
t=2.15, vL=4.91, vR=5.09, w=0.09
t=2.20, vL=4.91, vR=5.09, w=0.09
t=2.25, vL=4.91, vR=5.09, w=0.09
t=2.30, vL=4.92, vR=5.08, w=0.08
t=2.35, vL=4.92, vR=5.08, w=0.08
t=2.40, vL=4.93, vR=5.07, w=0.07
t=2.45, vL=4.93, vR=5.07, w=0.07
t=2.50, vL=4.93, vR=5.07, w=0.07
t=2.55, vL=4.94, vR=5.06, w=0.06
t=2.60, vL=4.94, vR=5.06, w=0.06
t=2.65, vL=4.95, vR=5.05, w=0.05
t=2.70, vL=4.95, vR=5.05, w=0.05
t=2.75, vL=4.96, vR=5.04, w=0.04
t=2.80, vL=4.96, vR=5.04, w=0.04
t=2.85, vL=4.97, vR=5.03, w=0.03
t=2.90, vL=4.97, vR=5.03, w=0.03
t=2.95, vL=4.98, vR=5.02, w=0.02
t=3.00, vL=4.98, vR=5.02, w=0.02
t=3.05, vL=4.99, vR=5.01, w=0.01
t=3.10, vL=5.00, vR=5.00, w=0.00
t=3.15, vL=5.00, vR=5.00, w=-0.00
t=3.20, vL=5.01, vR=4.99, w=-0.01
t=3.25, vL=5.01, vR=4.99, w=-0.01
t=3.30, vL=5.02, vR=4.98, w=-0.02
t=3.35, vL=5.02, vR=4.98, w=-0.02
t=3.40, vL=5.03, vR=4.97, w=-0.03
t=3.45, vL=5.03, vR=4.97, w=-0.03
t=3.50, vL=5.04, vR=4.96, w=-0.04
t=3.55, vL=5.04, vR=4.96, w=-0.04
t=3.60, vL=5.05, vR=4.95, w=-0.05
t=3.65, vL=5.05, vR=4.95, w=-0.05
t=3.70, vL=5.06, vR=4.94, w=-0.06
t=3.75, vL=5.06, vR=4.94, w=-0.06
t=3.80, vL=5.07, vR=4.93, w=-0.07
t=3.85, vL=5.07, vR=4.93, w=-0.07
t=3.90, vL=5.08, vR=4.92, w=-0.08
t=3.95, vL=5.08, vR=4.92, w=-0.08
t=4.00, vL=5.08, vR=4.92, w=-0.08
t=4.05, vL=5.09, vR=4.91, w=-0.09
t=4.10, vL=5.09, vR=4.91, w=-0.09
t=4.15, vL=5.09, vR=4.91, w=-0.09
t=4.20, vL=5.10, vR=4.90, w=-0.10
t=4.25, vL=5.10, vR=4.90, w=-0.10
t=4.30, vL=5.10, vR=4.90, w=-0.10
t=4.35, vL=5.10, vR=4.90, w=-0.10
t=4.40, vL=5.10, vR=4.90, w=-0.10
t=4.45, vL=5.11, vR=4.89, w=-0.11
t=4.50, vL=5.11, vR=4.89, w=-0.11
t=4.55, vL=5.11, vR=4.89, w=-0.11
t=4.60, vL=5.11, vR=4.89, w=-0.11
t=4.65, vL=5.11, vR=4.89, w=-0.11
t=4.70, vL=5.11, vR=4.89, w=-0.11
t=4.75, vL=5.11, vR=4.89, w=-0.11
t=4.80, vL=5.11, vR=4.89, w=-0.11
t=4.85, vL=5.11, vR=4.89, w=-0.11
t=4.90, vL=5.11, vR=4.89, w=-0.11
t=4.95, vL=5.11, vR=4.89, w=-0.11
t=5.00, vL=5.11, vR=4.89, w=-0.11
t=5.05, vL=5.10, vR=4.90, w=-0.10
t=5.10, vL=5.10, vR=4.90, w=-0.10
t=5.15, vL=5.10, vR=4.90, w=-0.10
t=5.20, vL=5.10, vR=4.90, w=-0.10
t=5.25, vL=5.09, vR=4.91, w=-0.09
t=5.30, vL=5.09, vR=4.91, w=-0.09
t=5.35, vL=5.09, vR=4.91, w=-0.09
t=5.40, vL=5.09, vR=4.91, w=-0.09
t=5.45, vL=5.08, vR=4.92, w=-0.08
t=5.50, vL=5.08, vR=4.92, w=-0.08
t=5.55, vL=5.07, vR=4.93, w=-0.07
t=5.60, vL=5.07, vR=4.93, w=-0.07
t=5.65, vL=5.07, vR=4.93, w=-0.07
t=5.70, vL=5.06, vR=4.94, w=-0.06
t=5.75, vL=5.06, vR=4.94, w=-0.06
t=5.80, vL=5.05, vR=4.95, w=-0.05
t=5.85, vL=5.05, vR=4.95, w=-0.05
t=5.90, vL=5.04, vR=4.96, w=-0.04
t=5.95, vL=5.04, vR=4.96, w=-0.04
t=6.00, vL=5.03, vR=4.97, w=-0.03
t=6.05, vL=5.03, vR=4.97, w=-0.03
t=6.10, vL=5.02, vR=4.98, w=-0.02
t=6.15, vL=5.01, vR=4.99, w=-0.01
t=6.20, vL=5.01, vR=4.99, w=-0.01
t=6.25, vL=5.00, vR=5.00, w=-0.00
t=6.30, vL=5.00, vR=5.00, w=0.00
t=6.35, vL=4.99, vR=5.01, w=0.01
t=6.40, vL=4.99, vR=5.01, w=0.01
t=6.45, vL=4.98, vR=5.02, w=0.02
t=6.50, vL=4.98, vR=5.02, w=0.02
t=6.55, vL=4.97, vR=5.03, w=0.03
t=6.60, vL=4.97, vR=5.03, w=0.03
t=6.65, vL=4.96, vR=5.04, w=0.04
t=6.70, vL=4.96, vR=5.04, w=0.04
t=6.75, vL=4.95, vR=5.05, w=0.05
t=6.80, vL=4.95, vR=5.05, w=0.05
t=6.85, vL=4.94, vR=5.06, w=0.06
t=6.90, vL=4.94, vR=5.06, w=0.06
t=6.95, vL=4.93, vR=5.07, w=0.07
t=7.00, vL=4.93, vR=5.07, w=0.07
t=7.05, vL=4.92, vR=5.08, w=0.08
t=7.10, vL=4.92, vR=5.08, w=0.08
t=7.15, vL=4.92, vR=5.08, w=0.08
t=7.20, vL=4.91, vR=5.09, w=0.09
t=7.25, vL=4.91, vR=5.09, w=0.09
t=7.30, vL=4.91, vR=5.09, w=0.09
t=7.35, vL=4.90, vR=5.10, w=0.10
t=7.40, vL=4.90, vR=5.10, w=0.10
t=7.45, vL=4.90, vR=5.10, w=0.10
t=7.50, vL=4.90, vR=5.10, w=0.10
t=7.55, vL=4.90, vR=5.10, w=0.10
t=7.60, vL=4.89, vR=5.11, w=0.11
t=7.65, vL=4.89, vR=5.11, w=0.11
t=7.70, vL=4.89, vR=5.11, w=0.11
t=7.75, vL=4.89, vR=5.11, w=0.11
t=7.80, vL=4.89, vR=5.11, w=0.11
t=7.85, vL=4.89, vR=5.11, w=0.11
t=7.90, vL=4.89, vR=5.11, w=0.11
t=7.95, vL=4.89, vR=5.11, w=0.11
t=8.00, vL=4.89, vR=5.11, w=0.11
t=8.05, vL=4.89, vR=5.11, w=0.11
t=8.10, vL=4.89, vR=5.11, w=0.11
t=8.15, vL=4.89, vR=5.11, w=0.11
t=8.20, vL=4.90, vR=5.10, w=0.10
t=8.25, vL=4.90, vR=5.10, w=0.10
t=8.30, vL=4.90, vR=5.10, w=0.10
t=8.35, vL=4.90, vR=5.10, w=0.10
t=8.40, vL=4.91, vR=5.09, w=0.09
t=8.45, vL=4.91, vR=5.09, w=0.09
t=8.50, vL=4.91, vR=5.09, w=0.09
t=8.55, vL=4.92, vR=5.08, w=0.08
t=8.60, vL=4.92, vR=5.08, w=0.08
t=8.65, vL=4.92, vR=5.08, w=0.08
t=8.70, vL=4.93, vR=5.07, w=0.07
t=8.75, vL=4.93, vR=5.07, w=0.07
t=8.80, vL=4.94, vR=5.06, w=0.06
t=8.85, vL=4.94, vR=5.06, w=0.06
t=8.90, vL=4.94, vR=5.06, w=0.06
t=8.95, vL=4.95, vR=5.05, w=0.05
t=9.00, vL=4.95, vR=5.05, w=0.05
t=9.05, vL=4.96, vR=5.04, w=0.04
t=9.10, vL=4.96, vR=5.04, w=0.04
t=9.15, vL=4.97, vR=5.03, w=0.03
t=9.20, vL=4.98, vR=5.02, w=0.02
t=9.25, vL=4.98, vR=5.02, w=0.02
t=9.30, vL=4.99, vR=5.01, w=0.01
t=9.35, vL=4.99, vR=5.01, w=0.01
t=9.40, vL=5.00, vR=5.00, w=0.00
t=9.45, vL=5.00, vR=5.00, w=-0.00
